,bces
0,-0.11878353598996698
1,-0.35154526611873393
2,-0.4158185201876561
3,-0.4372654206579623
4,-0.37892055288605214
5,-0.3441818796912659
6,-0.1066947386709629
7,-0.3311464438658653
8,-0.004610612557683294
9,-0.06187540371808753
10,-0.20258555176509538
11,-0.23736925857819188
12,-0.02963480512969074
13,-0.2533450600473311
14,-0.3974969384589874
15,-0.28037549726934285
16,-0.42755735458298044
17,-0.46426015461866976
18,-0.4525567156420149
19,-0.26997313867100775
20,-0.04824531262799454
21,-0.21282200224233835
22,-0.22139508078009287
23,-0.11440126030997533
24,-0.3461590022107569
25,-0.42541274591786044
26,-0.30381145438166457
27,-0.20236101213168128
28,-0.29235966200289204
29,-0.2465401291206058
30,-0.04940035029512699
31,-0.17948558197474657
32,-0.17459151073204415
33,-0.19832899493977146
34,-0.14456345119135258
35,-0.44332275066440474
36,-0.44488184047195584
37,-0.4158185201876561
38,-0.08915913631981819
39,-0.3781904659732836
40,-0.2159197062248902
41,-0.0015011261262670914
42,-0.4502010019495559
43,-0.3812604194113471
44,-0.44738145120945594
45,-0.0779615414697118
46,-0.3029587920399039
47,-0.3833123034670311
48,-0.21890255705695522
49,-0.01826580880689254
50,-0.0007002451143934259
51,-0.2146794729020804
52,-0.44347855030638067
53,-0.15093917556528622
54,-0.21865364604135773
55,-0.3447463730734587
56,-0.02142794741362045
57,-0.13696585507315742
58,-0.01765493523872071
59,-0.17709523782237324
